# Harp string geometry
#
# Glossary:
#   SB     - Soundboard. The carbon-fiber plate the strings attach to at their
#            lower ends. Its line in this design is a cubic Bezier (see below).
#   Ng     - "N grommet". The point where a string passes through the SB
#            (the lower end of the string). One per string.
#   Nf     - "N flat". The point on a string corresponding to its FLAT length
#            (longest length, open string). This is the topmost point of the
#            string, at the tuning pin on the neck.
#   Nn     - "N natural". The point on a string corresponding to its NATURAL
#            length (the natural-pitch sounding length). Lies on the string
#            line between Ng and Nf.
#   Ns     - "N sharp". The point on a string corresponding to its SHARP
#            length (shortest, sharp-pitch sounding length). Closer to Ng
#            than Nn is.
#   Nf, Nn, Ns are colinear with Ng -- they are all points along the same
#   physical string. They differ only in distance from Ng.
#   Note: in the column headers, "Nf_flat", "Nf_nat", "Nf_sharp" are used as
#   verbose names for Nf, Nn, Ns respectively.
#
#   Rake   - The forward tilt of the strings (Nf is offset toward the player
#            relative to Ng). 7 degrees in this design.
#
# Coordinate system:
#   Origin at Ng of string 1 (C1 grommet on soundboard).
#   x_mm: horizontal across the front view, +x toward G7 (treble side).
#   y_mm: vertical, +y up (toward neck).
#   z_mm: front/back, +z toward player, -z toward column.
#
# SB curve: cubic Bezier, control points (in same coord frame):
#   P0 = (0.00,    0.00, 0)    # at C1g
#   P1 = (325.29,  971.14, 0)
#   P2 = (350.50, 1142.59, 0)
#   P3 = (643.29, 1477.00, 0)  # at G7g
#
# Construction:
#   Ng_i is the point where the vertical at x = xs[i] meets the SB Bezier.
#   String unit vector (from Ng toward Nf): (0, cos(rake), sin(rake)).
#   Nf_i = Ng_i + L_flat_i  * (string unit vector)
#   Nn_i = Ng_i + L_nat_i   * (string unit vector)
#   Ns_i = Ng_i + L_sharp_i * (string unit vector)
#
# Column meanings (selected):
#   sn               - serial number (1..47, C1..G7)
#   note             - musical note name
#   material         - string material
#   L_flat/nat/sharp_mm - sounding length in flat / natural / sharp state
#   f_flat/nat/sharp_Hz - sounding frequency in flat / natural / sharp state
#   OD_mm            - string outer diameter
#   core_d_mm        - core wire diameter (wound strings only)
#   core_frac        - core fraction (wound strings only)
#   mu_g_per_m       - linear mass density (g/m)
#   T_N, T_lb        - string tension in Newtons and pounds
#   TS_pct           - tension as a percent of tensile strength
#   center_spacing_mm- horizontal gap from this string's center to the next
#   Ng_x/y/z_mm      - grommet point coordinates
#   Nf_flat_x/y/z_mm - Nf  (flat / open) point coordinates
#   Nf_nat_x/y/z_mm  - Nn  (natural)     point coordinates
#   Nf_sharp_x/y/z_mm- Ns  (sharp)       point coordinates
#
sn,note,material,L_flat_mm,L_nat_mm,L_sharp_mm,f_flat_Hz,f_nat_Hz,f_sharp_Hz,OD_mm,core_d_mm,core_frac,mu_g_per_m,T_N,T_lb,TS_pct,center_spacing_mm,Ng_x_mm,Ng_y_mm,Ng_z_mm,Nf_flat_x_mm,Nf_flat_y_mm,Nf_flat_z_mm,Nf_nat_x_mm,Nf_nat_y_mm,Nf_nat_z_mm,Nf_sharp_x_mm,Nf_sharp_y_mm,Nf_sharp_z_mm
1,C1,wound_bass_steel_bronze,1643.2,1551.0,1463.9,30.87,32.70,34.65,1.50,0.45,0.30,15.400,158.4,35.6,50.0,14.45,0.000,0.000,0.000,0.000,1630.952,200.256,0.000,1539.439,189.019,0.000,1452.988,178.405
2,D1,wound_bass_steel_bronze,1573.3,1485.0,1401.7,34.65,36.71,38.89,1.40,0.45,0.32,13.395,159.3,35.8,50.0,14.36,14.450,43.203,0.000,14.450,1604.776,191.737,14.450,1517.134,180.976,14.450,1434.455,170.824
3,E1,wound_bass_steel_bronze,1504.4,1420.0,1340.3,38.89,41.20,43.65,1.32,0.46,0.35,11.888,162.8,36.6,50.0,14.29,28.810,86.258,0.000,28.810,1579.444,183.340,28.810,1495.673,173.054,28.810,1416.567,163.341
4,F1,wound_bass_steel_bronze,1472.7,1390.0,1312.0,41.20,43.65,46.25,1.27,0.45,0.36,10.994,161.9,36.4,50.0,14.23,43.100,129.216,0.000,43.100,1590.939,179.477,43.100,1508.855,169.398,43.100,1431.436,159.893
5,G1,wound_bass_steel_bronze,1419.7,1340.0,1264.8,46.25,49.00,51.91,1.19,0.46,0.39,9.630,165.9,37.3,50.0,14.17,57.330,172.098,0.000,57.330,1581.216,173.018,57.330,1502.110,163.305,57.330,1427.471,154.140
6,A1,wound_bass_steel_bronze,1366.7,1290.0,1217.6,51.91,55.00,58.27,1.14,0.48,0.42,8.814,177.5,39.9,50.0,14.12,71.500,214.894,0.000,71.500,1571.406,166.559,71.500,1495.278,157.211,71.500,1423.418,148.388
7,B1,wound_bass_steel_bronze,1387.9,1310.0,1236.5,58.27,61.74,65.41,1.09,0.52,0.48,8.012,209.5,47.1,50.0,14.07,85.620,257.619,0.000,85.620,1635.173,169.142,85.620,1557.854,159.649,85.620,1484.902,150.691
8,C2,wound_bass_steel_bronze,1377.3,1300.0,1227.0,61.74,65.41,69.30,1.05,0.52,0.49,7.416,214.4,48.2,50.0,14.03,99.690,300.257,0.000,99.690,1667.291,167.851,99.690,1590.567,158.430,99.690,1518.111,149.534
9,D2,wound_bass_steel_bronze,1308.4,1235.0,1165.7,69.30,73.42,77.78,1.00,0.53,0.53,6.702,220.2,49.5,50.0,13.97,113.720,342.820,0.000,113.720,1641.467,159.454,113.720,1568.614,150.509,113.720,1499.831,142.063
10,E2,wound_bass_steel_bronze,1239.6,1170.0,1104.3,77.78,82.41,87.31,0.95,0.53,0.56,6.025,224.1,50.4,50.0,13.93,127.690,385.222,0.000,127.690,1615.583,151.069,127.690,1546.501,142.587,127.690,1481.291,134.580
11,F2,wound_bass_steel_bronze,1207.8,1140.0,1076.0,82.41,87.31,92.50,0.91,0.53,0.58,5.516,218.4,49.1,50.0,13.88,141.620,427.498,0.000,141.620,1626.295,147.194,141.620,1559.000,138.931,141.620,1495.477,131.131
